features,auc_mean,auc_ci,brier_mean,brier_ci
baseline,0.8013,"[0.7973, 0.8049]",0.1067,"[0.1054, 0.1080]"
+coast only,0.8053,"[0.8014, 0.8088]",0.1059,"[0.1046, 0.1071]"
+city only,0.8066,"[0.8027, 0.8103]",0.1055,"[0.1041, 0.1068]"
+both,0.8115,"[0.8076, 0.8154]",0.1046,"[0.1033, 0.1059]"
