params,auc_mean,auc_ci,brier_mean,brier_ci
current,0.8013,"[0.7973, 0.8049]",0.1067,"[0.1054, 0.1080]"
tuned,0.8015,"[0.7976, 0.8054]",0.1067,"[0.1054, 0.1079]"
