lon,lat
-9.494374,54.317613
-9.485707,54.315863
-9.471913,54.307074
-9.463979,54.303941
-9.384511,54.297187
-9.374827,54.298733
-9.36262,54.30272
-9.351145,54.308173
-9.343617,54.31391
-9.334218,54.318305
-9.322011,54.317084
-9.277252,54.304592
-9.268422,54.303941
-9.260976,54.299709
-9.252838,54.280951
-9.24767,54.276597
-9.229888,54.278469
-9.219635,54.280585
-9.2176,54.283515
-9.211008,54.275621
-9.209462,54.267564
-9.211985,54.260443
-9.2176,54.255561
-9.2176,54.248725
-9.195872,54.242499
-9.195872,54.235053
-9.215077,54.227118
-9.210357,54.217841
-9.161977,54.192043
-9.149322,54.180609
-9.141225,54.165351
-9.141225,54.145697
-9.134999,54.145697
-9.134185,54.163764
-9.13036,54.179104
-9.128896,54.193061
-9.134999,54.20775
-9.112538,54.213324
-9.090199,54.22663
-9.072987,54.246772
-9.06607,54.272895
-9.051259,54.289496
-9.017486,54.291897
-8.956858,54.283515
-8.949859,54.284857
-8.944407,54.288235
-8.939036,54.289984
-8.927561,54.284125
-8.910227,54.277899
-8.894195,54.274482
-8.871816,54.265123
-8.856597,54.263007
-8.807362,54.263007
-8.785634,54.266832
-8.765126,54.276597
-8.737457,54.264106
-8.676422,54.271308
-8.648346,54.263007
-8.642486,54.253607
-8.639556,54.242092
-8.63329,54.232367
-8.605051,54.225653
-8.593495,54.219062
-8.572662,54.200344
-8.559316,54.20661
-8.543853,54.208645
-8.51122,54.20775
-8.51122,54.214545
-8.525543,54.218899
-8.543609,54.222154
-8.559234,54.227729
-8.565826,54.238837
-8.572133,54.246527
-8.58731,54.252346
-8.605621,54.255561
-8.621002,54.255561
-8.621002,54.263007
-8.614247,54.267808
-8.602651,54.27969
-8.593739,54.283515
-8.571685,54.277167
-8.558217,54.275214
-8.552235,54.280097
-8.540761,54.284369
-8.470286,54.276597
-8.485951,54.288642
-8.50414,54.297187
-8.523346,54.302232
-8.542307,54.303941
-8.562652,54.303046
-8.569814,54.305732
-8.572662,54.31391
-8.567209,54.324164
-8.554799,54.321479
-8.531728,54.310207
-8.511708,54.317369
-8.519154,54.326728
-8.540517,54.334662
-8.562123,54.33808
-8.661366,54.338039
-8.666819,54.341213
-8.668284,54.351752
-8.663889,54.35928
-8.653798,54.365871
-8.641754,54.370429
-8.612864,54.375474
-8.496571,54.423489
-8.480133,54.426825
-8.47411,54.429999
-8.471262,54.437893
-8.470286,54.457831
-8.466705,54.475002
-8.459218,54.471869
-8.451894,54.461005
-8.449127,54.454779
-8.445139,54.453925
-8.443756,54.453437
-8.443023,54.447333
-8.41393,54.45954
-8.384185,54.468248
-8.381663,54.468573
-8.30012,54.477973
-8.287343,54.479438
-8.242096,54.497748
-8.210194,54.501939
-8.210194,54.509426
-8.243276,54.510199
-8.257965,54.514228
-8.270985,54.523668
-8.216379,54.55036
-8.218861,54.56977
-8.172515,54.594468
-8.175404,54.619289
-8.164662,54.615302
-8.157623,54.610826
-8.150054,54.607123
-8.137563,54.605618
-8.126088,54.637885
-8.120839,54.646552
-8.123891,54.648627
-8.124908,54.648912
-8.1256,54.649604
-8.127675,54.652777
-8.146799,54.642076
-8.166656,54.636135
-8.234934,54.629381
-8.271311,54.612006
-8.292104,54.605618
-8.292104,54.611802
-8.281728,54.620551
-8.280344,54.629625
-8.287262,54.636786
-8.301747,54.639797
-8.316762,54.635443
-8.342356,54.616156
-8.367828,54.608629
-8.41454,54.578355
-8.427968,54.571723
-8.442047,54.566718
-8.456614,54.564643
-8.456614,54.570787
-8.432281,54.587795
-8.417104,54.59516
-8.398183,54.598131
-8.384755,54.605658
-8.387685,54.619859
-8.400054,54.628567
-8.415028,54.619289
-8.421864,54.619289
-8.418691,54.641303
-8.43163,54.641303
-8.448313,54.627631
-8.456614,54.60871
-8.461537,54.602851
-8.472076,54.607856
-8.48176,54.615953
-8.486195,54.622952
-8.485219,54.627387
-8.486155,54.631293
-8.49413,54.632961
-8.500803,54.632025
-8.511301,54.627753
-8.517486,54.626125
-8.541737,54.62523
-8.553456,54.622626
-8.564036,54.608832
-8.576772,54.610907
-8.596913,54.619289
-8.672597,54.619452
-8.690012,54.626125
-8.681956,54.63581
-8.691396,54.641303
-8.774159,54.659857
-8.791819,54.659613
-8.788442,54.663398
-8.786366,54.666978
-8.783437,54.670396
-8.778147,54.673896
-8.778147,54.68008
-8.791086,54.684882
-8.79776,54.691962
-8.795522,54.698432
-8.781565,54.701239
-8.766957,54.702216
-8.755198,54.705756
-8.747426,54.71308
-8.744618,54.725084
-8.733266,54.732611
-8.662099,54.762641
-8.636586,54.768459
-8.536204,54.766913
-8.483713,54.756781
-8.456614,54.756415
-8.456614,54.762641
-8.526601,54.772773
-8.5454,54.783759
-8.529897,54.788072
-8.484934,54.789374
-8.473378,54.786811
-8.460805,54.774848
-8.444692,54.763129
-8.426666,54.757229
-8.408193,54.762641
-8.461293,54.793524
-8.498891,54.801215
-8.534983,54.816474
-8.55842,54.817857
-8.554351,54.827541
-8.546986,54.829901
-8.537099,54.829779
-8.524892,54.831529
-8.515126,54.836005
-8.501861,54.846503
-8.490712,54.851996
-8.471018,54.840522
-8.449086,54.839423
-8.401967,54.84455
-8.346262,54.831692
-8.325673,54.831529
-8.325673,54.838324
-8.343251,54.839911
-8.365387,54.845404
-8.381337,54.855943
-8.380849,54.872504
-8.366689,54.88109
-8.327382,54.877021
-8.312652,54.87934
-8.325836,54.88581
-8.337026,54.903632
-8.350453,54.907294
-8.368804,54.908189
-8.374013,54.907294
-8.378163,54.902777
-8.379791,54.895738
-8.380116,54.889228
-8.380849,54.886176
-8.409291,54.88703
-8.432607,54.901557
-8.450795,54.922065
-8.46345,54.940823
-8.450429,54.946275
-8.440907,54.943427
-8.431508,54.93769
-8.418446,54.934556
-8.404612,54.935696
-8.391347,54.938666
-8.366567,54.948188
-8.396148,54.955268
-8.418609,54.968085
-8.456614,54.995429
-8.456614,55.002875
-8.44811,55.007636
-8.437734,55.009833
-8.426422,55.008612
-8.415028,55.002875
-8.404693,55.012885
-8.401967,55.016547
-8.408193,55.016547
-8.403188,55.030666
-8.395253,55.033149
-8.385325,55.032416
-8.374013,55.036363
-8.354482,55.060533
-8.347401,55.064276
-8.33788,55.058417
-8.335072,55.035061
-8.325673,55.030219
-8.319976,55.034329
-8.313588,55.05268
-8.305165,55.058051
-8.316518,55.08747
-8.320424,55.104926
-8.316029,55.112738
-8.304351,55.119208
-8.288401,55.150133
-8.278472,55.160549
-8.26301,55.161078
-8.206532,55.146877
-8.188385,55.148993
-8.157623,55.158393
-8.141265,55.160549
-8.147532,55.15176
-8.154286,55.14525
-8.159576,55.138739
-8.161733,55.129462
-8.156484,55.124498
-8.144683,55.130194
-8.114858,55.154731
-8.05427,55.176947
-8.03482,55.180976
-8.020985,55.188788
-8.01179,55.205064
-7.999582,55.219631
-7.976796,55.22191
-7.950185,55.210273
-7.958648,55.199205
-8.00414,55.180976
-8.00414,55.17414
-7.961985,55.187201
-7.955719,55.184719
-7.949045,55.179836
-7.93399,55.18065
-7.91804,55.184516
-7.908559,55.188422
-7.894887,55.17414
-7.894887,55.167914
-7.898793,55.156399
-7.890452,55.158271
-7.875559,55.164944
-7.860097,55.167914
-7.865061,55.158149
-7.872874,55.151597
